frequency_hz,z0_real,z0_imag,s11_real,s11_imag,s21_real,s21_imag
4.665000000000e+09,3.093736100641e+01,-3.633603273465e-03,-3.452496484201e-03,-4.047245100238e-02,9.973746646151e-01,-6.709687489358e-02
4.680000000000e+09,3.093723314077e+01,-3.736244691753e-03,-3.479100777825e-03,-4.060803528460e-02,9.973509619035e-01,-6.732348263651e-02
4.695000000000e+09,3.093709480440e+01,-3.832333616252e-03,-3.505937190927e-03,-4.074345252936e-02,9.973269306126e-01,-6.754984384932e-02
4.710000000000e+09,3.093694630120e+01,-3.922061275935e-03,-3.533000188456e-03,-4.087870105529e-02,9.973025796514e-01,-6.777595549794e-02
4.725000000000e+09,3.093678793734e+01,-4.005616738760e-03,-3.560284292165e-03,-4.101377929803e-02,9.972779178415e-01,-6.800181473994e-02
4.740000000000e+09,3.093662002098e+01,-4.083186698599e-03,-3.587784081051e-03,-4.114868580711e-02,9.972529539161e-01,-6.822741891959e-02
4.755000000000e+09,3.093644286203e+01,-4.154955309366e-03,-3.615494191735e-03,-4.128341924296e-02,9.972276965199e-01,-6.845276556302e-02
4.770000000000e+09,3.093625677185e+01,-4.221104004282e-03,-3.643409318796e-03,-4.141797837398e-02,9.972021542076e-01,-6.867785237348e-02
4.785000000000e+09,3.093606206307e+01,-4.281811319045e-03,-3.671524215053e-03,-4.155236207370e-02,9.971763354441e-01,-6.890267722678e-02
4.800000000000e+09,3.093585904930e+01,-4.337252773315e-03,-3.699833691805e-03,-4.168656931804e-02,9.971502486038e-01,-6.912723816691e-02
4.815000000000e+09,3.093564804493e+01,-4.387600707358e-03,-3.728332619027e-03,-4.182059918263e-02,9.971239019698e-01,-6.935153340168e-02
4.830000000000e+09,3.093542936485e+01,-4.433024188559e-03,-3.757015925526e-03,-4.195445084020e-02,9.970973037341e-01,-6.957556129857e-02
4.845000000000e+09,3.093520332430e+01,-4.473688875394e-03,-3.785878599055e-03,-4.208812355811e-02,9.970704619972e-01,-6.979932038066e-02
4.860000000000e+09,3.093497023857e+01,-4.509756928130e-03,-3.814915686402e-03,-4.222161669583e-02,9.970433847677e-01,-7.002280932274e-02
4.875000000000e+09,3.093473042284e+01,-4.541386930938e-03,-3.844122293431e-03,-4.235492970265e-02,9.970160799622e-01,-7.024602694743e-02
4.890000000000e+09,3.093448419197e+01,-4.568733789816e-03,-3.873493585106e-03,-4.248806211531e-02,9.969885554054e-01,-7.046897222152e-02
4.905000000000e+09,3.093423186028e+01,-4.591948689244e-03,-3.903024785476e-03,-4.262101355581e-02,9.969608188298e-01,-7.069164425236e-02
4.920000000000e+09,3.093397374136e+01,-4.611179008259e-03,-3.932711177635e-03,-4.275378372922e-02,9.969328778760e-01,-7.091404228436e-02
4.935000000000e+09,3.093371014790e+01,-4.626568289429e-03,-3.962548103660e-03,-4.288637242159e-02,9.969047400923e-01,-7.113616569563e-02
4.950000000000e+09,3.093344139144e+01,-4.638256188916e-03,-3.992530964520e-03,-4.301877949788e-02,9.968764129354e-01,-7.135801399466e-02
4.965000000000e+09,3.093316778228e+01,-4.646378441596e-03,-4.022655219964e-03,-4.315100490002e-02,9.968479037699e-01,-7.157958681716e-02
4.980000000000e+09,3.093288962925e+01,-4.651066837308e-03,-4.052916388390e-03,-4.328304864494e-02,9.968192198689e-01,-7.180088392296e-02
4.995000000000e+09,3.093260723954e+01,-4.652449203656e-03,-4.083310046695e-03,-4.341491082275e-02,9.967903684139e-01,-7.202190519298e-02
5.010000000000e+09,3.093232091855e+01,-4.650649391506e-03,-4.113831830101e-03,-4.354659159490e-02,9.967613564955e-01,-7.224265062637e-02
5.025000000000e+09,3.093203096972e+01,-4.645787272212e-03,-4.144477431976e-03,-4.367809119243e-02,9.967321911130e-01,-7.246312033764e-02
5.040000000000e+09,3.093173769440e+01,-4.637978742852e-03,-4.175242603623e-03,-4.380940991427e-02,9.967028791753e-01,-7.268331455393e-02
5.055000000000e+09,3.093144139167e+01,-4.627335725881e-03,-4.206123154073e-03,-4.394054812558e-02,9.966734275008e-01,-7.290323361236e-02
5.070000000000e+09,3.093114235820e+01,-4.613966196944e-03,-4.237114949853e-03,-4.407150625614e-02,9.966438428179e-01,-7.312287795746e-02
5.085000000000e+09,3.093084088813e+01,-4.597974186646e-03,-4.268213914743e-03,-4.420228479883e-02,9.966141317653e-01,-7.334224813862e-02
5.100000000000e+09,3.093053727291e+01,-4.579459817769e-03,-4.299416029530e-03,-4.433288430806e-02,9.965843008926e-01,-7.356134480773e-02
5.115000000000e+09,3.093023180121e+01,-4.558519339114e-03,-4.330717331740e-03,-4.446330539836e-02,9.965543566603e-01,-7.378016871675e-02
5.130000000000e+09,3.092992475872e+01,-4.535245142805e-03,-4.362113915375e-03,-4.459354874292e-02,9.965243054406e-01,-7.399872071549e-02
5.145000000000e+09,3.092961642812e+01,-4.509725822320e-03,-4.393601930629e-03,-4.472361507222e-02,9.964941535177e-01,-7.421700174936e-02
5.160000000000e+09,3.092930708888e+01,-4.482046206258e-03,-4.425177583603e-03,-4.485350517271e-02,9.964639070879e-01,-7.443501285723e-02
5.175000000000e+09,3.092899701721e+01,-4.452287403624e-03,-4.456837136018e-03,-4.498321988549e-02,9.964335722607e-01,-7.465275516933e-02
5.190000000000e+09,3.092868648592e+01,-4.420526855183e-03,-4.488576904910e-03,-4.511276010507e-02,9.964031550588e-01,-7.487022990524e-02
5.205000000000e+09,3.092837576431e+01,-4.386838408564e-03,-4.520393262338e-03,-4.524212677812e-02,9.963726614185e-01,-7.508743837194e-02
5.220000000000e+09,3.092806511811e+01,-4.351292339115e-03,-4.552282635064e-03,-4.537132090232e-02,9.963420971908e-01,-7.530438196187e-02
5.235000000000e+09,3.092775480933e+01,-4.313955444902e-03,-4.584241504256e-03,-4.550034352518e-02,9.963114681410e-01,-7.552106215114e-02
5.250000000000e+09,3.092744509621e+01,-4.274891093377e-03,-4.616266405167e-03,-4.562919574293e-02,9.962807799501e-01,-7.573748049767e-02
5.265000000000e+09,3.092713623312e+01,-4.234159288628e-03,-4.648353926827e-03,-4.575787869944e-02,9.962500382144e-01,-7.595363863951e-02
5.280000000000e+09,3.092682847048e+01,-4.191816758202e-03,-4.680500711717e-03,-4.588639358520e-02,9.962192484470e-01,-7.616953829313e-02
5.295000000000e+09,3.092652205464e+01,-4.147916998331e-03,-4.712703455461e-03,-4.601474163624e-02,9.961884160773e-01,-7.638518125180e-02
5.310000000000e+09,3.092621722789e+01,-4.102510373188e-03,-4.744958906505e-03,-4.614292413320e-02,9.961575464523e-01,-7.660056938398e-02
5.325000000000e+09,3.092591422831e+01,-4.055644173483e-03,-4.777263865794e-03,-4.627094240032e-02,9.961266448366e-01,-7.681570463182e-02
5.340000000000e+09,3.092561328972e+01,-4.007362710849e-03,-4.809615186463e-03,-4.639879780456e-02,9.960957164132e-01,-7.703058900962e-02
5.355000000000e+09,3.092531464163e+01,-3.957707380741e-03,-4.842009773512e-03,-4.652649175465e-02,9.960647662840e-01,-7.724522460246e-02
5.370000000000e+09,3.092501850918e+01,-3.906716757330e-03,-4.874444583500e-03,-4.665402570026e-02,9.960337994701e-01,-7.745961356470e-02
5.385000000000e+09,3.092472511307e+01,-3.854426673475e-03,-4.906916624223e-03,-4.678140113111e-02,9.960028209124e-01,-7.767375811871e-02
5.400000000000e+09,3.092443466949e+01,-3.800870304591e-03,-4.939422954409e-03,-4.690861957616e-02,9.959718354724e-01,-7.788766055349e-02
5.415000000000e+09,3.092414739010e+01,-3.746078253525e-03,-4.971960683404e-03,-4.703568260281e-02,9.959408479322e-01,-7.810132322343e-02
5.430000000000e+09,3.092386348197e+01,-3.690078647841e-03,-5.004526970875e-03,-4.716259181613e-02,9.959098629953e-01,-7.831474854705e-02
5.445000000000e+09,3.092358314753e+01,-3.632897208708e-03,-5.037119026500e-03,-4.728934885811e-02,9.958788852871e-01,-7.852793900578e-02
5.460000000000e+09,3.092330658451e+01,-3.574557360697e-03,-5.069734109674e-03,-4.741595540689e-02,9.958479193553e-01,-7.874089714285e-02
5.475000000000e+09,3.092303398593e+01,-3.515080310107e-03,-5.102369529213e-03,-4.754241317612e-02,9.958169696704e-01,-7.895362556209e-02
5.490000000000e+09,3.092276554008e+01,-3.454485137775e-03,-5.135022643067e-03,-4.766872391419e-02,9.957860406261e-01,-7.916612692686e-02
5.505000000000e+09,3.092250143041e+01,-3.392788898031e-03,-5.167690858031e-03,-4.779488940362e-02,9.957551365400e-01,-7.937840395902e-02
5.520000000000e+09,3.092224183558e+01,-3.330006693065e-03,-5.200371629470e-03,-4.792091146040e-02,9.957242616539e-01,-7.959045943783e-02
5.535000000000e+09,3.092198692939e+01,-3.266151788440e-03,-5.233062461039e-03,-4.804679193335e-02,9.956934201341e-01,-7.980229619901e-02
5.550000000000e+09,3.092173688077e+01,-3.201235688888e-03,-5.265760904417e-03,-4.817253270349e-02,9.956626160722e-01,-8.001391713371e-02
5.565000000000e+09,3.092149185374e+01,-3.135268240224e-03,-5.298464559044e-03,-4.829813568350e-02,9.956318534853e-01,-8.022532518763e-02
5.580000000000e+09,3.092125200740e+01,-3.068257718306e-03,-5.331171071862e-03,-4.842360281708e-02,9.956011363165e-01,-8.043652336004e-02
5.595000000000e+09,3.092101749593e+01,-3.000210922869e-03,-5.363878137067e-03,-4.854893607845e-02,9.955704684352e-01,-8.064751470297e-02
5.610000000000e+09,3.092078846854e+01,-2.931133277490e-03,-5.396583495860e-03,-4.867413747174e-02,9.955398536376e-01,-8.085830232025e-02
5.625000000000e+09,3.092056506947e+01,-2.861028916047e-03,-5.429284936217e-03,-4.879920903054e-02,9.955092956472e-01,-8.106888936676e-02
5.640000000000e+09,3.092034743799e+01,-2.789900776273e-03,-5.461980292648e-03,-4.892415281731e-02,9.954787981151e-01,-8.127927904760e-02
5.655000000000e+09,3.092013570839e+01,-2.717750701785e-03,-5.494667445987e-03,-4.904897092293e-02,9.954483646203e-01,-8.148947461725e-02
5.670000000000e+09,3.091993000995e+01,-2.644579525953e-03,-5.527344323168e-03,-4.917366546620e-02,9.954179986700e-01,-8.169947937888e-02
5.685000000000e+09,3.091973046696e+01,-2.570387169982e-03,-5.560008897018e-03,-4.929823859338e-02,9.953877037002e-01,-8.190929668356e-02
5.700000000000e+09,3.091953719871e+01,-2.495172734478e-03,-5.592659186059e-03,-4.942269247771e-02,9.953574830759e-01,-8.211892992956e-02
5.715000000000e+09,3.091935031949e+01,-2.418934591107e-03,-5.625293254318e-03,-4.954702931897e-02,9.953273400914e-01,-8.232838256164e-02
5.730000000000e+09,3.091916993858e+01,-2.341670483330e-03,-5.657909211142e-03,-4.967125134306e-02,9.952972779707e-01,-8.253765807038e-02
5.745000000000e+09,3.091899616028e+01,-2.263377601085e-03,-5.690505211021e-03,-4.979536080158e-02,9.952672998676e-01,-8.274675999153e-02
5.760000000000e+09,3.091882908387e+01,-2.184052684026e-03,-5.723079453428e-03,-4.991935997141e-02,9.952374088662e-01,-8.295569190533e-02
5.775000000000e+09,3.091866880369e+01,-2.103692117457e-03,-5.755630182656e-03,-5.004325115429e-02,9.952076079810e-01,-8.316445743593e-02
5.790000000000e+09,3.091851540907e+01,-2.022292012106e-03,-5.788155687677e-03,-5.016703667648e-02,9.951779001574e-01,-8.337306025077e-02
5.805000000000e+09,3.091836898437e+01,-1.939848291805e-03,-5.820654301997e-03,-5.029071888834e-02,9.951482882717e-01,-8.358150405999e-02
